Simplified	Traditional	Japanese	Pinyin	Jyutping	CC-CEDICT English definition
左	左	左	zuǒ	zo2	surname Zuo || left / the Left (politics) / east / unorthodox / queer / wrong / differing / opposite / variant of 佐
右	右	右	yòu	jau6	right (-hand) / the Right (politics) / west (old)
边	邊	サイド	biān	bin1	side / edge / margin / border / boundary / CL: 個｜个 / simultaneously || suffix of a noun of locality
前面	前面	フロント	qián miàn	cin4 min6	ahead / in front / preceding / above / also pr. [qian2 mian5]
后面	後面	後ろ	hòu miàn	hau6 min6	rear / back / behind / later / afterwards / also pr. [hou4 mian5]
学校	學校	学校	xué xiào	hok6 haau6	school / CL: 所
前	前	前に	qián	cin4	front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly
后	後	後	hòu	hau6	surname Hou || empress / queen || back / behind / rear / afterwards / after / later
校	校	学校	jiào	haau6	to proofread / to check / to compare || school / military officer / CL: 所
走	走	行きます	zǒu	zau2	to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)
到	到	へ	dào	dou3	to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)
路	路	道路	lù	lou6	surname Lu || road / CL: 條｜条 / journey / route / line (bus etc) / sort / kind
怎么	怎麽	どのように	zěn me	zam2 mo1	how? / what? / why?
哪里	哪裏	どこ	nǎ lǐ	naa5 lei5	where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment / also written 哪裡｜哪里 || where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment
这里	這裏	ここに	zhè lǐ	ze5 lei5	here
那里	那裏	そこ	nà li	naa5 lei5	there / that place / also written 那裡｜那里 || there / that place
往	往	へ	wǎng	wong5	to go (in a direction) / to / towards / (of a train) bound for / past / previous
里	裏	で	lǐ	lei5	lining / interior / inside / internal / also written 裏｜里 || Li (surname) || li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels
喜欢	喜歡	以下のような	xǐ huan	hei2 fun1	to like / to be fond of
看	看	見て	kān	hon3	to look after / to take care of / to watch / to guard || to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger)
书	書	ブック	shū	syu1	abbr. for 書經｜书经 || book / letter / document / CL: 本, 冊｜册, 部 / to write
喜	喜	以下のような	xǐ	hei2	to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad
欢	歡	ジョイアス	huān	fun1	joyous / happy / pleased || hubbub / clamor / variant of 歡｜欢 || a breed of horse / variant of 歡｜欢
玩	玩	遊びます	wán	waan2	to play / to have fun / to trifle with / toy / sth used for amusement / curio or antique (Taiwan pr. [wan4]) / to keep sth for entertainment
电脑	電腦	コンピュータ	diàn nǎo	din6 nou5	computer / CL: 臺｜台
游戏	遊戲	ゲーム	yóu xì	jau4 hei3	game / CL: 場｜场 / to play
脑	腦	脳	nǎo	nou5	brain / mind / head / essence
游	遊	ツアー	yóu	jau4	surname You || to swim / variant of 遊｜游 || to walk / to tour / to roam / to travel
戏	戲	ショー	xì	hei3	trick / drama / play / show / CL: 出, 場｜场, 臺｜台
听	聽	に耳を傾けます	yǐn	ting3	smile (archaic) || to listen / to hear / to obey / a can (loanword from English 'tin') / classifier for canned beverages || (literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow
音乐	音樂	音楽	yīn yuè	jam1 lok6	music / CL: 張｜张, 曲, 段
歌	歌	歌	gē	go1	song / CL: 支, 首 / to sing
音	音	音	yīn	jam1	sound / noise / note (of musical scale) / tone / news / syllable / reading (phonetic value of a character)
乐	樂	音楽	lè	lok6	surname Le || surname Yue || happy / cheerful / to laugh || music
跳舞	跳舞	ダンス	tiào wǔ	tiu3 mou5	to dance
唱	唱	歌います	chàng	coeng3	to sing / to call loudly / to chant
跳	跳	ジャンプ	tiào	tiu3	to jump / to hop / to skip over / to bounce / to palpitate
舞	舞	ダンス	wǔ	mou5	to dance / to wield / to brandish
起床	起床	立ち上がります	qǐ chuáng	hei2 cong4	to get out of bed / to get up
上学	上學	学校に行きます	shàng xué	soeng5 hok6	to go to school / to attend school
上班	上班	仕事に行きます	shàng bān	soeng5 baan1	to go to work / to be on duty / to start work / to go to the office
早饭	早飯	朝食	zǎo fàn	zou2 faan6	breakfast / CL: 份, 頓｜顿, 次, 餐
床	床	ベッド	chuáng	cong4	bed / couch / classifier for beds / CL: 張｜张
班	班	クラス	bān	baan1	surname Ban || team / class / squad / work shift / ranking / CL: 個｜个 / classifier for groups
从	從	から	cóng	cung4	surname Cong || from / through / via / to follow / to obey / to engage in (an activity) / never (in negative sentence) / (Taiwan pr. [zong4]) retainer / assistant / accomplice / related by common paternal grandfather or earlier ancestor || second cousin
睡觉	睡覺	スリープ	shuì jiào	seoi6 gok3	to go to bed / to sleep
午饭	午飯	ランチ	wǔ fàn	ng5 faan6	lunch / CL: 份, 頓｜顿, 次, 餐
睡	睡	スリープ	shuì	seoi6	to sleep / to lie down
觉	覺	感じます	jiào	gok3	a nap / a sleep / CL: 場｜场 || to feel / to find that / thinking / awake / aware
放学	放學	学校	fàng xué	fong3 hok6	to dismiss students at the end of the school day
下班	下班	通います	xià bān	haa6 baan1	to finish work / to get off work
回	回	リターン	huí	wui4	to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book) || to curve / to return / to revolve
晚饭	晚飯	夕食	wǎn fàn	maan5 faan6	evening meal / dinner / supper / CL: 份, 頓｜顿, 次, 餐
放	放	解除	fàng	fong3	to put / to place / to release / to free / to let go / to let out / to set off (fireworks)
钱	錢	お金	qián	cin2	surname Qian || coin / money / CL: 筆｜笔 / unit of weight, one tenth of a tael 兩｜两
块	塊	ブロック	kuài	faai3	lump (of earth) / chunk / piece / classifier for pieces of cloth, cake, soap etc / (coll.) classifier for money and currency units
只	只	のみ	zhǐ	zi2	only / merely / just / but || grain that has begun to ripen / variant of 衹｜只 || classifier for birds and certain animals, one of a pair, some utensils, vessels etc
买	買	購入	mǎi	maai5	to buy / to purchase
一共	一共	全く	yī gòng	jat1 gung6	altogether
毛	毛	髪	máo	mou4	surname Mao || hair / feather / down / wool / mildew / mold / coarse or semifinished / young / raw / careless / unthinking / nervous / scared / (of currency) to devalue or depreciate / classifier for Chinese fractional monetary unit ( = 角 , = one-tenth of a yuan or 10 fen 分)
共	共	全く	gòng	gung6	common / general / to share / together / total / altogether / abbr. for 共產黨｜共产党, Communist party
信用卡	信用卡	クレジットカード	xìn yòng kǎ	seon3 jung6 kaa1	credit card
收	收	受け取ります	shōu	sau1	to receive / to accept / to collect / to put away / to restrain / to stop / in care of (used on address line after name)
千	千	千	qiān	cin1	thousand || see 鞦韆｜秋千
信	信	手紙	xìn	seon3	letter / mail / CL: 封 / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random
用	用	使用	yòng	jung6	to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore
卡	卡	カード	kǎ	kaa1	to stop / to block / card / CL: 張｜张, 片 / calorie / cassette / (computing) (coll.) slow || to block / to be stuck / to be wedged / customs station / a clip / a fastener / a checkpost / Taiwan pr. [ka3]
贵	貴	高いです	guì	gwai3	expensive / noble / precious / (honorific) your
便宜	便宜	安いです	biàn yí	bin6 ji4	convenient || cheap / inexpensive / small advantages / to let sb off lightly
现金	現金	現金	xiàn jīn	jin6 gam1	cash
便	便	それから	biàn	bin6	plain / informal / suitable / convenient / opportune / to urinate or defecate / equivalent to 就: then / in that case / even if / soon afterwards || see 便宜
宜	宜	すべきです	yí	ji4	surname Yi || proper / should / suitable / appropriate
金	金	ゴールド	jīn	gam1	surname Jin / surname Kim (Korean) / Jurchen Jin dynasty (1115-1234) || gold / chemical element Au / generic term for lustrous and ductile metals / money / golden / highly respected / one of the eight ancient musical instruments 八音
太	太	余りに	tài	taai3	highest / greatest / too (much) / very / extremely
万	萬	一万	mò	maan6	see 万俟 || surname Wan || ten thousand / a great number
行	行	行	xíng	hang4	row / line / commercial firm / line of business / profession / to rank (first, second etc) among one's siblings (by age) / (in data tables) row / (Tw) column || to walk / to go / to travel / a visit / temporary / makeshift / current / in circulation / to do / to perform / capable / competent / effective / all right / OK! / will do / behavior / conduct / Taiwan pr. [xing4] for the behavior-conduct sense
想	想	考えます	xiǎng	soeng2	to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)
干	幹	ドライ	gān	gon3	surname Gan || dry / clean / in vain / dried food / foster / adoptive / to ignore || to concern / to interfere / shield / stem || tree trunk / main part of sth / to manage / to work / to do / capable / cadre / to kill (slang) / to fuck (vulgar)
影	影	影	yǐng	jing2	picture / image / film / movie / photograph / reflection / shadow / trace
视	視	リガード	shì	si6	to look at / to regard / to inspect
电视	電視	テレビ	diàn shì	din6 si6	television / TV / CL: 臺｜台, 個｜个
电影	電影	映画	diàn yǐng	din6 jing2	movie / film / CL: 部, 片, 幕, 場｜场
报纸	報紙	新聞	bào zhǐ	bou3 zi2	newspaper / newsprint / CL: 份, 期, 張｜张
上网	上網	インターネット	shàng wǎng	soeng5 mong5	to go online / to connect to the Internet / (of a document etc) to be uploaded to the Internet / (tennis, volleyball etc) to move in close to the net
报	報	レポート	bào	bou3	to announce / to inform / report / newspaper / recompense / revenge / CL: 份, 張｜张
纸	紙	紙	zhǐ	zi2	paper / CL: 張｜张, 沓 / classifier for documents, letter etc
网	網	ネット	wǎng	mong5	net / network
手机	手機	携帯電話	shǒu jī	sau2 gei1	cell phone / mobile phone / CL: 部, 支
新闻	新聞	ニュース	xīn wén	san1 man4	news / CL: 條｜条, 個｜个
机	機	機械	jī	gei1	surname Ji || machine / engine / opportunity / intention / aircraft / pivot / crucial point / flexible (quick-witted) / organic / CL: 臺｜台
新	新	新しいです	xīn	san1	abbr. for Xinjiang 新疆 or Singapore 新加坡 / surname Xin || new / newly / meso- (chemistry)
闻	聞	香り	wén	man4	surname Wen || to hear / news / well-known / famous / reputation / fame / to smell / to sniff at
明星	明星	スター	míng xīng	ming4 sing1	star / celebrity
体育	體育	スポーツの	tǐ yù	tai2 juk6	sports / physical education
节目	節目	ショー	jié mù	zit3 muk6	program / item (on a program) / CL: 臺｜台, 個｜个, 套
韩国	韓國	韓国	hán guó	hon4 gwok3	South Korea (Republic of Korea) / Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897
体	體	ボディ	tǐ	tai2	body / form / style / system / substance / to experience / aspect (linguistics)
节	節	祭り	jiē	zit3	see 節骨眼｜节骨眼 || festival / holiday / node / joint / section / segment / part / to economize / to save / to abridge / moral integrity / classifier for segments, e.g. lessons, train wagons, biblical verses / CL: 個｜个
韩	韓	ハン	hán	hon4	Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897 / Korea, esp. South Korea 大韓民國｜大韩民国 / surname Han
育	育	教育します	yù	juk6	to have children / to raise or bring up / to educate
目	目	目	mù	muk6	eye / item / section / list / catalogue / table of contents / order (taxonomy) / goal / name / title
桌	桌	デスク	zhuō	coek3	table / desk / classifier for tables of guests at a banquet etc
找	找	検索	zhǎo	zaau2	to try to find / to look for / to call on sb / to find / to seek / to return / to give change
桌子	桌子	テーブル	zhuō zi	coek3 zi2	table / desk / CL: 張｜张, 套
椅子	椅子	椅子	yǐ zi	ji2 zi2	chair / CL: 把, 套
椅	椅	椅子	yǐ	ji2	chair
房间	房間	部屋	fáng jiān	fong4 gaan1	room / CL: 間｜间, 個｜个
冰箱	冰箱	冷蔵庫	bīng xiāng	bing1 soeng1	icebox / freezer cabinet / refrigerator / CL: 臺｜台, 個｜个
外	外	アウター	wài	ngoi6	outside / in addition / foreign / external
房	房	家	fáng	fong4	surname Fang || house / room / CL: 間｜间 / branch of an extended family / classifier for family members (or concubines)
箱	箱	箱	xiāng	soeng1	box / trunk / chest
位	位	場所	wèi	wai2	position / location / place / seat / classifier for people (honorific) / classifier for binary bits (e.g. 十六位 16-bit or 2 bytes) / (physics) potential
等	等	待って	děng	dang2	class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once
一下	一下	何	yī xià	jat1 haa6	(used after a verb) give it a go / to do (sth for a bit to give it a try) / one time / once / in a while / all of a sudden / all at once
进	進	入ります	jìn	zeon3	to go forward / to advance / to go in / to enter / to put in / to submit / to take in / to admit / (math.) base of a number system / classifier for sections in a building or residential compound
坐	坐	座ります	zuò	co5	surname Zuo || to sit / to take a seat / to take (a bus, airplane etc) / to bear fruit / variant of 座
菜单	菜單	メニュー	cài dān	coi3 daan1	menu / CL: 份, 張｜张
英文	英文	英語	yīng wén	jing1 man4	English (language)
菜	菜	一品	cài	coi3	dish (type of food) / vegetable / cuisine / CL: 盤｜盘, 道 / (coll.) (one's) type / (of one's skills etc) weak / poor
单	單	シングル	dān	daan1	surname Shan || bill / list / form / single / only / sole / odd number / CL: 個｜个
文	文	文化	wén	man4	surname Wen || language / culture / writing / formal / literary / gentle / (old) classifier for coins / Kangxi radical 67
服务员	服務員	給仕	fú wù yuán	fuk6 mou6 jyun4	waiter / waitress / attendant / customer service personnel / CL: 個｜个, 位
点菜	點菜	アラカルト	diǎn cài	dim2 coi3	to order dishes (in a restaurant)
买单	買單	支払います	mǎi dān	maai5 daan1	to pay the restaurant bill
订位	訂位	予約	dìng wèi	deng6 wai2	to reserve a seat / to book a table / reservation
服	服	服	fú	fuk6	clothes / dress / garment / to serve (in the military, a prison sentence etc) / to obey / to be convinced (by an argument) / to convince / to admire / to acclimatize / to take (medicine) / mourning clothes / to wear mourning clothes || dose (measure word for medicine) / Taiwan pr. [fu2]
务	務	ビジネス	wù	mou6	affair / business / matter / to be engaged in / to attend to / by all means
员	員	メンバー	yuán	jyun4	person / employee / member
订	訂	オーダー	dìng	deng6	to agree / to conclude / to draw up / to subscribe to (a newspaper etc) / to order
些	些	一部	xiē	se1	some / few / several / measure word indicating a small amount or small number (greater than 1)
西	西	西洋の	xī	sai1	the West / abbr. for Spain 西班牙 / Spanish || west
东	東	東	dōng	dung1	surname Dong || east / host (i.e. sitting on east side of guest) / landlord
东西	東西	事	dōng xī	dung1 sai1	east and west || thing / stuff / person / CL: 個｜个, 件
超市	超市	スーパーマーケット	chāo shì	ciu1 si5	supermarket / abbr. for 超級市場｜超级市场 / CL: 家
水果	水果	フルーツ	shuǐ guǒ	seoi2 gwo2	fruit / CL: 個｜个
超	超	上回ります	chāo	ciu1	to exceed / to overtake / to surpass / to transcend / to pass / to cross / ultra- / super-
市	市	街	shì	si5	market / city / CL: 個｜个
果	果	フルーツ	guǒ	gwo2	fruit / result / resolute / indeed / if really
给	給	へ	gěi	kap1	to / for / for the benefit of / to give / to allow / to do sth (for sb) / (grammatical equivalent of 被) / (grammatical equivalent of 把) / (sentence intensifier) || to supply / to provide
苹果	蘋果	アップル	píng guǒ	ping4 gwo2	apple / CL: 個｜个, 顆｜颗
西瓜	西瓜	西瓜	xī guā	sai1 gwaa1	watermelon / CL: 顆｜颗, 粒, 個｜个
苹	蘋	アップル	píng	ping4	(artemisia) / duckweed || marsiliaceae / clover fern || apple
瓜	瓜	メロン	guā	gwaa1	melon / gourd / squash
鸡蛋	雞蛋	卵	jī dàn	gai1 daan2	(chicken) egg / hen's egg / CL: 個｜个, 打
新鲜	新鮮	新鮮	xīn xiān	san1 sin1	fresh (experience, food etc) / freshness / novel / uncommon
鸡	雞	チキン	jī	gai1	fowl / chicken / CL: 隻｜只 / (slang) prostitute
蛋	蛋	卵	dàn	daan2	egg / CL: 個｜个, 打 / oval-shaped thing
鲜	鮮	新鮮	xiān	sin1	fresh / bright (in color) / delicious / tasty / delicacy / aquatic foods || few / rare || fish / old variant of 鮮｜鲜
蔬菜	蔬菜	野菜	shū cài	so1 coi3	vegetables / produce / CL: 種｜种
蔬	蔬	野菜	shū	so1	vegetables
包	包	パッケージ	bāo	baau1	surname Bao || to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet / CL: 個｜个, 隻｜只
米	米	メートル	mǐ	mai5	surname Mi || rice / CL: 粒 / meter (classifier)
面包	面包	パン	miàn bāo	min6 baau1	bread / CL: 片, 袋, 塊｜块
袋	袋	バッグ	dài	doi6	pouch / bag / sack / pocket
糖	糖	砂糖	táng	tong4	sugar / sweets / candy / CL: 顆｜颗, 塊｜块
为	為	あります	wéi	wai4	as (in the capacity of) / to take sth as / to act as / to serve as / to behave as / to become / to be / to do / by (in the passive voice) || because of / for / to
习	習	調査	xí	zaap6	surname Xi || to practice / to study / habit
学习	學習	ラーニング	xué xí	hok6 zaap6	to learn / to study
中文	中文	中国の	zhōng wén	zung1 man4	Chinese language
为什么	為什麽	何故	wèi shén me	wai4 sam6 mo1	why? / for what reason?
因为	因為	なぜなら	yīn wèi	jan1 wai4	because / owing to / on account of
所以	所以	そう	suǒ yǐ	so2 ji5	therefore / as a result / so / the reason why
西班牙	西班牙	スペイン	xī bān yá	sai1 baan1 ngaa4	Spain
因	因	なぜなら	yīn	jan1	cause / reason / because
所	所	ザ・	suǒ	so2	actually / place / classifier for houses, small buildings, institutions etc / that which / particle introducing a relative clause or passive / CL: 個｜个
以	以	とともに	yǐ	ji5	abbr. for Israel 以色列 || to use / by means of / according to / in order to / because of / at (a certain date or place)
牙	牙	歯	yá	ngaa4	tooth / ivory / CL: 顆｜颗
旅游	旅遊	ツアー	lǚ yóu	leoi5 jau4	trip / journey / tourism / travel / tour / to travel
爱好	愛好	趣味	ài hào	ngoi3 hou2	to like / to take pleasure in / keen on / fond of / interest / hobby / appetite for / CL: 個｜个
西班牙语	西班牙語	スペイン語	xī bān yá yǔ	sai1 baan1 ngaa4 jyu5	Spanish language
轻松	輕松	リラックス	qīng sōng	hing1 cung4	light / gentle / relaxed / effortless / uncomplicated / to relax / to take things less seriously
旅	旅	旅団	lǚ	leoi5	trip / travel / to travel / brigade (army)
轻	輕	ライト	qīng	hing1	light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage
松	松	パイン	sōng	cung4	surname Song || pine / CL: 棵 || loose / to loosen / to relax
照相机	照相機	カメラ	zhào xiàng jī	ziu3 soeng1 gei1	camera / CL: 個｜个, 架, 部, 台, 隻｜只
印度	印度	インド	yìn dù	jan3 dou6	India
拍照	拍照	写真	pāi zhào	paak3 ziu3	to take a picture
拍	拍	ビート	pāi	paak3	to pat / to clap / to slap / to swat / to take (a photo) / to shoot (a film) / racket (sports) / beat (music)
照	照	フォト	zhào	ziu3	according to / in accordance with / to shine / to illuminate / to reflect / to look at (one's reflection) / to take (a photo) / photo / as requested / as before
印	印	プリント	yìn	jan3	surname Yin / abbr. for 印度 || to print / to mark / to engrave / a seal / a print / a stamp / a mark / a trace / image
相	相	相	xiāng	soeng1	surname Xiang || each other / one another / mutually || appearance / portrait / picture / government minister / (physics) phase / (literary) to appraise (esp. by scrutinizing physical features) / to read sb's fortune (by physiognomy, palmistry etc)
度	度	度	dù	dou6	to pass / to spend (time) / measure / limit / extent / degree of intensity / degree (angles, temperature etc) / kilowatt-hour / classifier for events and occurrences || to estimate / Taiwan pr. [duo4]
海	海	海	hǎi	hoi2	surname Hai || ocean / sea / CL: 個｜个, 片 / great number of people or things / (dialect) numerous
本	本	本	běn	bun2	root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc
还	還	さらに	huán	waan4	surname Huan || still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else || to pay back / to return
上海	上海	上海	shàng hǎi	soeng5 hoi2	Shanghai municipality, central east China, abbr. to 滬｜沪
还是	還是	若しくは	hái shi	waan4 si6	or / still / nevertheless / had better
日本	日本	日本	rì běn	jat6 bun2	Japan / Japanese
肉	肉	肉	ròu	juk6	meat / flesh / pulp (of a fruit) / (coll.) (of a fruit) squashy / (of a person) flabby / irresolute
米饭	米飯	米	mǐ fàn	mai5 faan6	(cooked) rice
面条	面條	麺	miàn tiáo	min6 tiu4	noodles
鸡肉	雞肉	チキン	jī ròu	gai1 juk6	chicken meat
牛肉	牛肉	牛肉	niú ròu	ngau4 juk6	beef
猪肉	豬肉	豚肉	zhū ròu	zyu1 juk6	pork
羊肉	羊肉	子羊	yáng ròu	joeng4 juk6	mutton / goat meat
饮料	飲料	飲物	yǐn liào	jam2 liu2	drink / beverage
猪	豬	豚	zhū	zyu1	hog / pig / swine / CL: 口, 頭｜头
羊	羊	羊	yáng	joeng4	surname Yang || sheep / goat / CL: 頭｜头, 隻｜只
饮	飲	ドリンク	yǐn	jam2	to drink || to give (animals) water to drink
料	料	フィード	liào	liu2	material / stuff / grain / feed / to expect / to anticipate / to guess
作	作	作ります	zuō	zok3	worker / workshop / (slang) troublesome / high-maintenance (person) || to do / to grow / to write or compose / to pretend / to regard as / to feel / writings or works
工	工	仕事	gōng	gung1	work / worker / skill / profession / trade / craft / labor
累	累	疲れました	lěi	leoi6	to accumulate / to involve or implicate (Taiwan pr. [lei4]) / continuous / repeated || tired / weary / to strain / to wear out / to work hard || surname Lei || rope / to bind together / to twist around
工作	工作	仕事	gōng zuò	gung1 zok3	to work / (of a machine) to operate / job / work / task / CL: 個｜个, 份, 項｜项
觉得	覺得	私は思います	jué de	gok3 dak1	to think / to feel
有点儿	有點兒	ビット	yǒu diǎnr	jau5 dim2 ji4	slightly / a little / somewhat
胖	胖	脂肪	pán	bun6	healthy / at ease || fat / plump
健康	健康	健康	jiàn kāng	gin6 hong1	health / healthy
不要	不要	しないでください	bù yào	bat1 jiu3	don't! / must not
健	健	健康	jiàn	gin6	healthy / to invigorate / to strengthen / to be good at / to be strong in
康	康	カン	kāng	hong1	surname Kang || healthy / peaceful / abundant
身体	身體	ボディ	shēn tǐ	san1 tai2	the body / one's health / CL: 具, 個｜个 / in person
注意	注意	注意を払います	zhù yì	zyu3 ji3	to take note of / to pay attention to
身	身	ボディ	shēn	san1	body / life / oneself / personally / one's morality and conduct / the main part of a structure or body / pregnant / classifier for sets of clothes: suit, twinset / Kangxi radical 158
注	注	注記	zhù	zyu3	to inject / to pour into / to concentrate / to pay attention / stake (gambling) / classifier for sums of money / variant of 註｜注 || to register / to annotate / note / comment
意	意	意味	yì	ji3	Italy / Italian / abbr. for 意大利 || idea / meaning / thought / to think / wish / desire / intention / to expect / to anticipate
开始	開始	始めます	kāi shǐ	hoi1 ci2	to begin / beginning / to start / initial / CL: 個｜个
锻炼	鍛煉	エクササイズ	duàn liàn	dyun3 lin6	to toughen / to temper / to engage in physical exercise / to work out / (fig.) to develop one's skills / to train oneself
开	開	オープン	kāi	hoi1	to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文｜开尔文 / abbr. for 開本｜开本, book format
锻	鍛	鍛造	duàn	dyun3	to forge / to discipline / wrought
始	始	開始	shǐ	ci2	to begin / to start / then / only then
炼	煉	リファイン	liàn	lin6	to refine / to smelt
铁	鐵	鉄	tiě	tit3	surname Tie || iron (metal) / arms / weapons / hard / strong / violent / unshakeable / determined / close / tight (slang)
店	店	ショップ	diàn	dim3	inn / shop / store / CL: 家
地	地	地面	de	dei6	-ly / structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct || earth / ground / field / place / land / CL: 片
酒	酒	ワイン	jiǔ	zau2	wine (esp. rice wine) / liquor / spirits / alcoholic beverage / CL: 杯, 瓶, 罐, 桶, 缸
酒店	酒店	ホテル	jiǔ diàn	zau2 dim3	wine shop / pub (public house) / hotel / restaurant / (Tw) hostess club
地铁	地鐵	地下鉄	dì tiě	dei6 tit3	subway / metro
不准	不准	禁じます	bù zhǔn	bat1 zeon2	not to allow / to forbid / to prohibit
准	准	準	zhǔn	zeon2	to allow / to grant / in accordance with / in the light of || accurate / standard / definitely / certainly / about to become (bride, son-in-law etc) / quasi- / para-
出租车	出租車	タクシー	chū zū chē	ceot1 zou1 ce1	taxi / (Taiwan) rental car
站	站	駅	zhàn	zaam6	station / to stand / to halt / to stop / branch of a company or organization / website
车	車	車	chē	ce1	surname Che || car / vehicle / CL: 輛｜辆 / machine / to shape with a lathe || war chariot (archaic) / rook (in Chinese chess) / rook (in chess)
出	出	アウト	chū	ceot1	to go out / to come out / to occur / to produce / to go beyond / to rise / to put forth / to happen / (used after a verb to indicate an outward direction or a positive result) / classifier for dramas, plays, operas etc
租	租	家賃	zū	zou1	to hire / to rent / to charter / to rent out / to lease out / rent / land tax
可以	可以	缶	kě yǐ	ho2 ji5	can / may / possible / able to / not bad / pretty good
汽车	汽車	車	qì chē	hei3 ce1	car / automobile / bus / CL: 輛｜辆
公共	公共	公衆	gōng gòng	gung1 gung6	public / common / communal
船	船	ボート	chuán	syun4	boat / vessel / ship / CL: 條｜条, 艘, 隻｜只
公	公	公衆	gōng	gung1	public / collectively owned / common / international (e.g. high seas, metric system, calendar) / make public / fair / just / Duke, highest of five orders of nobility 五等爵位 / honorable (gentlemen) / father-in-law / male (animal)
汽	汽	スチーム	qì	hei3	steam / vapor
件	件	アイテム	jiàn	gin6	item / component / classifier for events, things, clothes etc
衣	衣	服	yī	ji1	clothes / CL: 件 || to dress / to wear / to put on (clothes)
商	商	ビジネス	shāng	soeng1	Shang Dynasty (c. 1600-1046 BC) / surname Shang || commerce / merchant / dealer / to consult / 2nd note in pentatonic scale / quotient (as in 智商, intelligence quotient)
商店	商店	ショップ	shāng diàn	soeng1 dim3	store / shop / CL: 家, 個｜个
衣服	衣服	服	yī fu	ji1 fuk6	clothes / CL: 件, 套
门	門	ドア	mén	mun4	surname Men || gate / door / CL: 扇 / gateway / doorway / CL: 個｜个 / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)
欢迎	歡迎	歓迎	huān yíng	fun1 jing4	to welcome / welcome
迎	迎	歓迎	yíng	jing4	to welcome / to meet / to face / to forge ahead (esp. in the face of difficulties)
您	您	君	nín	nei5	you (courteous, as opposed to informal 你)
帮忙	幫忙	助けます	bāng máng	bong1 mong4	to help / to lend a hand / to do a favor / to do a good turn
需要	需要	必要	xū yào	seoi1 jiu3	to need / to want / to demand / to require / requirement / need
需	需	必要	xū	seoi1	to require / to need / to want / necessity / need
随便	隨便	カジュアル	suí biàn	ceoi4 bin6	as one wishes / as one pleases / at random / negligent / casual / wanton
随	隨	従います	suí	ceoi4	surname Sui || to follow / to comply with / varying according to... / to allow / subsequently
读	讀	読みます	dòu	duk6	comma / phrase marked by pause || to read / to study / reading of word (i.e. pronunciation), similar to 拼音
意思	意思	意味	yì si	ji3 si1	idea / opinion / meaning / wish / desire / interest / fun / token of appreciation, affection etc / CL: 個｜个 / to give as a small token / to do sth as a gesture of goodwill etc
写	寫	書きます	xiě	se2	to write
难	難	難しいです	nán	naan4	difficult (to...) / problem / difficulty / difficult / not good || disaster / distress / to scold
思	思	考えます	sī	si1	to think / to consider
秒	秒	第2	miǎo	miu5	second (unit of time) / arc second (angular measurement unit) / (coll.) instantly
刻	刻	刻印	kè	hak1	quarter (hour) / moment / to carve / to engrave / to cut / oppressive / classifier for short time intervals
差	差	違い	chā	caa1	difference / discrepancy / to differ / error / to err / to make a mistake || to differ from / to fall short of / lacking / wrong / inferior || to send / to commission / messenger / mission
小时	小時	時間	xiǎo shí	siu2 si4	hour / CL: 個｜个
